Statement,Label
Vladimir_Putin born Moscow Russia,FALSE
Vladimir_Putin born Leningrad Russia,TRUE
Pukhin Russia Poetry,TRUE
Le_Duan Thailand Leader,FALSE
Ho_Chi_Minh born 1890,TRUE
Ho_Chi_Minh left Vietnam 1911,TRUE
Ho_Chi_Minh returned Vietnam 1911,FALSE
Le_Duan Vietnam Leader,TRUE
Thomas_Edison invented Light_bulb,TRUE
Levitan Russia Artist,TRUE
Stalin born Grudia,TRUE
Thomas_Edison enemy Tesla,TRUE
Thomas_Edison friend Tesla,FALSE
Nobel lived Russia,TRUE
Nobel not lived Russia,FALSE
Terasil_Dangda Thailand Footballer,TRUE
Terasil_Dangda Thailand General,TRUE
Terasil_Dangda played Striker,TRUE
Terasil_Dangda played Goalkeeper,FALSE
Terasil_Dangda played Defender,FALSE
Terasil_Dangda played Middle-fielder,FALSE
Vo_Nguyen_Giap born Quang_Binh Vietnam,TRUE
De_Catries France General,TRUE
Stalin born Armenia,FALSE
Terasil_Dangda Thailand Volleyballers,FALSE
Westinghouse invented Light_bulb,FALSE
Pukhin England Poetry,FALSE
Levitan Germany Artist,FALSE
Ho_Chi_Minh born 1960,FALSE
Vo_Nguyen_Giap born Da_Nang Vietnam,FALSE
William_Westmoreland France General,FALSE
Abraham_Lincohn enslaved America African-slave,FALSE
Abraham_Lincohn liberated America African-slave,TRUE
Yuri_Gagarin first person Space,TRUE
Yuri_Gagarin second person Space,FALSE
Galileo_Galile supported Roman_Holy,FALSE
Galileo_Galile opposed Roman_Holy,TRUE
Mark_Zuckeberg invented Facebook,TRUE
Mark_Zuckeberg invented Twitter,FALSE
Piotr_Great established Russia Empire,TRUE
Piotr_Great established Soviet_Union Russia,FALSE
Valery_Legasov took main responsibility Chenobyl_disaster,FALSE
Anatoly_Dyatlov took main responsibility Chenobyl_disaster,TRUE
Yuri_Gagarin third person Space,FALSE
Yuri_Gagarin forth person Space,FALSE
Yuri_Gagarin fifth person Space,FALSE
Yuri_Gagarin sixth person Space,FALSE
Yuri_Gagarin seventh person Space,FALSE
Yuri_Gagarin eighth person Space,FALSE
Yuri_Gagarin ninth person Space,FALSE
Yuri_Gagarin tenth person Space,FALSE
Piotr_Great established Rus_Kievan Russia,FALSE
Piotr_Great established Tsardom Russia,FALSE
Piotr_Great established Russia Federation,FALSE
Xu_Shiyou France General,FALSE
Boris_Yelsin established Russia Federation,TRUE
Vladimir_Lenin established Soviet_Union Russia,TRUE
Ivan_Terrible established Tsardom Russia Russia,TRUE
